"tm","account","symbol","position"
2018-11-23 06:36:13:112583,MM-MS-FX,EURUSD,7875010
2018-11-20 07:51:13:935698,MM-MS-FX,EURUSD,7875010
2018-11-20 07:05:03:695752,MM-MS-FX,EURUSD,7875300
2018-11-20 07:04:54:927208,MM-MS-FX,EURUSD,7875200
2018-11-20 07:04:49:135245,MM-MS-FX,EURUSD,7875100
2018-11-16 09:39:53:787259,MM-MS-FX,EURUSD,10
2018-11-16 09:35:58:372243,MM-MS-FX,EURUSD,100
2018-11-16 09:13:25:691706,MM-MS-FX,EURUSD,100
2018-11-16 07:06:26:343191,MM-MS-FX,EURUSD,1
2018-11-16 06:42:48:938298,MM-MS-FX,EURUSD,100
2018-11-15 09:37:12:825767,MM-MS-FX,EURUSD,1000
2018-11-15 09:36:25:745648,MM-MS-FX,EURUSD,2000
2018-11-15 09:35:53:102969,MM-MS-FX,EURUSD,1000
2018-11-15 09:30:28:956006,MM-MS-FX,EURUSD,100
2018-11-15 09:14:53:613585,MM-MS-FX,EURUSD,2000
2018-11-15 09:14:36:864404,MM-MS-FX,EURUSD,1000
2018-11-15 07:25:04:426753,MM-MS-FX,EURUSD,6000
2018-11-15 07:24:03:477857,MM-MS-FX,EURUSD,5000
2018-11-15 07:23:56:691777,MM-MS-FX,EURUSD,4000
2018-11-15 07:23:41:289538,MM-MS-FX,EURUSD,3000
2018-11-15 07:23:40:829106,MM-MS-FX,EURUSD,2000
2018-11-15 07:23:23:854562,MM-MS-FX,EURUSD,1000
2018-11-15 07:09:34:091029,MM-MS-FX,EURUSD,100
2018-11-15 07:04:28:433661,MM-MS-FX,EURUSD,100
2018-11-15 06:46:38:991286,MM-MS-FX,EURUSD,200
2018-11-15 06:45:52:518700,MM-MS-FX,EURUSD,100
2018-11-15 06:36:09:078932,MM-MS-FX,EURUSD,100
2018-11-14 10:16:48:424290,CEF-BB-CICC,USDSGD,700
2018-11-14 10:16:48:301145,CEF-BB-CICC,USDSGD,672.2862
2018-11-14 10:16:29:420007,CEF-BB-CICC,USDSGD,600
2018-11-14 10:16:28:990871,CEF-BB-CICC,USDSGD,570.2567
2018-11-14 10:16:09:861446,CEF-BB-CICC,USDSGD,500
2018-11-14 10:16:09:125364,CEF-BB-CICC,USDSGD,408.9172
2018-11-14 10:15:39:781253,CEF-BB-CICC,USDSGD,400
2018-11-14 10:15:38:854960,CEF-BB-CICC,USDSGD,389.7763
2018-11-14 10:14:42:971729,CEF-BB-CICC,USDSGD,300
2018-11-14 10:14:42:944750,CEF-BB-CICC,USDSGD,220.2362
